單字,詞性,詞根,中文解釋,例句1,例句2
abnormal,adj.,ab- away/from; norm- rule/pattern; -al pertaining to,不正常的; 反常的,The patient's blood test showed abnormal results.,It's abnormal for it to be so cold in May.
abolish,v.,ab- away/from; -olish- grow/nourish,廢除; 廢止,Slavery was abolished in the 19th century.,The government plans to abolish the tax.
abortion,n.,ab- away/from; -ort- rise/be born; -ion act/state of,墮胎; 流產,She had an abortion.,The debate over abortion rights is ongoing.
abrupt,adj.,ab- away/from; -rupt- break,突然的;  abrupt的,The car came to an abrupt stop.,He made an abrupt change of subject.
absurd,adj.,ab- away/from; -surd- deaf/senseless,荒謬的; 不合理的,The idea is completely absurd.,It's absurd to think that.
abundant,adj.,ab- away/from; -und- wave; -ant being,豐富的; 充裕的,The region has abundant natural resources.,Food was abundant.
abuse,n./v.,ab- away/from; -use- use,濫用; 虐待; 辱罵,He suffered child abuse.,She abused her power.
accelerate,v.,ac- to/toward; -celer- swift; -ate make/cause to be,加速; 促進,The car accelerated quickly.,The new policy will accelerate economic growth.
accessible,adj.,ac- to/toward; -cess- go; -ible capable of,可接近的; 易懂的,The building is accessible to wheelchairs.,The information is easily accessible.
accommodate,v.,ac- to/toward; -com- together; -mod- measure; -ate make/cause to be,容納; 提供住宿; 適應,The hotel can accommodate 500 guests.,We need to accommodate the needs of all students.
accommodation,n.,ac- to/toward; -com- together; -mod- measure; -ation act/state of,住宿; 住處,They found accommodation in a small hotel.,Student accommodation is limited.
accord,n./v.,ac- to/toward; -cord- heart,一致; 符合; 授予,The two sides reached an accord.,His actions accord with his beliefs.
accounting,n.,ac- to/toward; -count- count; -ing act/state of,會計; 會計學,She is studying accounting.,He works in the accounting department.
acknowledge(ment),v./(n.),ac- to/toward; -know- know; -ledge- knowledge; -ment result of,承認; 鳴謝,He acknowledged his mistake.,She received an acknowledgment of her letter.
acquaint,v.,ac- to/toward; -quaint- know,使熟悉; 告知,Please acquaint yourself with the rules.,He acquainted her with the facts.
acquisition,n.,ac- to/toward; -quis- seek; -ition act/state of,獲得; 收購,The company made a new acquisition.,The acquisition of knowledge is important.
activist,n.,act- do; -ive tending to; -ist person,積極分子; 活躍分子,She is a political activist.,Environmental activists protested.
acute,adj.,ac- sharp,敏銳的; 嚴重的; 急性的,He has an acute sense of hearing.,The problem is acute.
administration,n.,ad- to/toward; -minister- serve; -ation act/state of,管理; 行政; 管理部門,The administration of the company.,Public administration is a complex field.
administrative,adj.,ad- to/toward; -minister- serve; -ative tending to,行政的; 管理的,He works in an administrative role.,The administrative staff handles paperwork.
administrator,n.,ad- to/toward; -minister- serve; -ator agent,行政人員; 管理員,She is a school administrator.,He is a system administrator.
adolescent,adj./n.,ad- to/toward; -ole- grow; -escent becoming,青春期的; 青少年,Adolescent behavior can be challenging.,The book is aimed at adolescents.
adore,v.,ad- to/toward; -or- mouth,崇拜; 喜愛,She adores her grandchildren.,He adored his wife.
adverse,adj.,ad- to/toward; -vers- turn,不利的; 有害的,The drug has adverse side effects.,Adverse weather conditions.
advocate,n./v.,ad- to/toward; -voc- call; -ate make/cause to be,擁護者; 提倡者; 提倡,He is a strong advocate for human rights.,She advocates for environmental protection.
affection,n.,af- to/toward; -fect- do/make; -ion act/state of,感情; 喜愛,She showed great affection for her children.,He felt deep affection for her.
agenda,n.,ag- do; -enda things to be done,議程; 議事日程,The first item on the agenda is the budget.,They set the agenda for the meeting.
aggression,n.,ag- to/toward; -gress- step; -ion act/state of,侵略; 攻擊,The country condemned the act of aggression.,He showed signs of aggression.
agony,n.,agon- struggle,痛苦; 苦惱,He was in agony after the accident.,She suffered in agony.
agricultural,adj.,agri- field; cult- till; -ur- act; -al pertaining to,農業的; 農用的,The country's agricultural output is high.,Agricultural land is fertile.
