單字,詞性,詞根,中文解釋,例句1,例句2
abbreviate,v.,ab- to/toward; -brev- short; -iate make/cause to be,縮短; 縮寫,You can abbreviate 'Doctor' to 'Dr.',The company decided to abbreviate its long name for easier recognition.
abide,v.,a- intensive; -bide wait/stay,遵守; 忍受; 停留,We must abide by the rules.,I can't abide his constant complaining.
aboriginal,adj./n.,ab- from/away; -origin- beginning; -al pertaining to,原住民的; 原始的; 原住民,The aboriginal people of Australia have a rich culture.,This land was once home to aboriginal tribes.
abound,v.,ab- from/away; -ound- wave/flow,大量存在; 充滿,The rivers abound with fish.,Opportunities abound for those who are willing to work hard.
abstraction,n.,ab- from/away; -tract- draw; -ion act/state of,抽象; 抽象概念; 心不在焉,Art often deals with abstraction.,"He was lost in abstraction, staring blankly at the wall."
abundance,n.,ab- from/away; -und- wave; -ance state/quality,豐富; 充裕,The region has an abundance of natural resources.,We had food in abundance.
academy,n.,acad- school; -emy place,學院; 學會,She is studying at a prestigious art academy.,He was elected to the Royal Academy.
accessory,n./adj.,ac- to/toward; -cess- go; -ory pertaining to,附件; 配件; 附屬的,She bought a new accessory for her phone.,The car comes with several optional accessories.
acclaim,n./v.,ac- to/toward; -claim- cry out,喝彩; 稱讚,The play opened to critical acclaim.,He was acclaimed as a hero.
accordance,n.,ac- to/toward; -cord- heart; -ance state/quality,一致; 符合,"In accordance with your wishes, we will proceed.",The decision was made in accordance with company policy.
accordingly,adv.,ac- to/toward; -cord- heart; -ing present participle; -ly in a manner,因此; 相應地,He was ill and accordingly stayed home.,"She's an expert, and we should listen to her accordingly."
accountable,adj.,ac- to/toward; -count- count; -able capable of,有責任的; 應負責的,Managers are accountable for their team's performance.,Every employee is accountable for their actions.
accumulate,v.,ac- to/toward; -cumul- heap; -ate make/cause to be,積累; 堆積,Dust accumulated on the shelves.,He accumulated a large fortune.
accumulation,n.,ac- to/toward; -cumul- heap; -ation act/state of,積累; 堆積物,The accumulation of evidence led to his arrest.,Snow accumulation reached several feet.
accusation,n.,ac- to/toward; -cus- cause; -ation act/state of,指控; 控告,He denied the accusation of theft.,She faced a false accusation.
accustom,v.,ac- to/toward; -custom- habit,使習慣於,You'll soon accustom yourself to the new routine.,He accustomed his eyes to the dark.
acne,n.,acne- point,痤瘡; 粉刺,She suffered from severe acne as a teenager.,He used a special cream to treat his acne.
acre,n.,acr- field,英畝,The farm covers 100 acres.,They bought a large acre of land.
adaptation,n.,ad- to/toward; -apt- fit; -ation act/state of,適應; 改編,The adaptation of the book for the screen was successful.,Evolution is a process of adaptation.
addiction,n.,ad- to/toward; -dict- say; -ion act/state of,上癮; 沉迷,He struggled with drug addiction.,Gaming addiction is a growing concern.
administer/administrate,v.,ad- to/toward; -minister- serve; -ate make/cause to be,管理; 施行,The doctor administered the medicine.,She helps to administer the school.
admiral,n.,amir- commander,海軍上將,The admiral commanded the fleet.,He was promoted to admiral.
adolescence,n.,ad- to/toward; -ole- grow; -escence state of becoming,青春期,Adolescence is a period of rapid change.,She is going through adolescence.
advisory,adj.,ad- to/toward; -vis- see; -ory pertaining to,諮詢的; 顧問的,The committee provides advisory services.,He works in an advisory capacity.
aesthetic,adj.,aesthet- perception; -ic pertaining to,美學的; 審美的,The painting has great aesthetic appeal.,They discussed the aesthetic qualities of the design.
affectionate,adj.,af- to/toward; -fect- do/make; -ion act/state of; -ate full of,深情的; 摯愛的,He is a very affectionate child.,She gave him an affectionate hug.
affiliate,n.,af- to/toward; -fil- son; -iate make/cause to be,附屬機構; 分公司,The company has affiliates all over the world.,He is an affiliate of the organization.
