單字,詞性,詞根,中文解釋,例句1,例句2
a/an,art.,a/an- one,一個; 一件,I have a book.,She ate an apple.
ability,n.,able- able; -ity state/quality,能力; 才能,He has the ability to speak French.,Her ability to learn is impressive.
able,adj.,able- capable,能夠的; 有能力的,He is able to swim.,She is able to help.
about,prep./adv.,a- on; bout- turn,關於; 大約; 到處,He talked about his trip.,It's about 10 o'clock.
above,prep./adv./adj.,a- on; bove- over,在...上面; 在上面; 上面的,The bird flew above the trees.,He lives on the floor above.
abroad,adv.,a- on; broad- broad,在國外; 到國外,He went abroad for his studies.,She lives abroad.
across,prep./adv.,a- on; cross- cross,穿過; 橫過; 在對面,He walked across the street.,The store is across the street.
act,n./v.,act- do,行為; 動作; 表演; 行動,He performed a kind act.,She acted in a play.
action,n.,act- do; -ion act/state of,行動; 動作,His words led to action.,The movie is full of action.
actor/actress,n.,act- do; -or/-ess person,演員; 女演員,He is a famous actor.,She is a talented actress.
add,v.,ad- to/toward; -d- give,增加; 添加,Add sugar to your coffee.,Add two and two.
afraid,adj.,a- on; fraid- frighten,害怕的; 恐懼的,He is afraid of dogs.,She is afraid to speak.
after,prep./conj./adv.,after- behind,在...之後; 之後; 後來,He came after me.,He left after dinner.
afternoon,n.,after- after; noon- noon,下午,He works in the afternoon.,Good afternoon.
again,adv.,a- on; gain- against,再次; 又,Please say it again.,Try again.
age,n./v.,age- period,年齡; 時代; 變老,What is your age?,He is aging gracefully.
ago,adv.,a- on; go- go,以前; 以前,He left an hour ago.,Long ago.
agree,v.,a- to/toward; -gree- please,同意; 贊成,I agree with you.,They agreed to meet.
air,n.,air- gas,空氣; 天空,Breathe fresh air.,The air is clean.
airplane/plane,n.,air- air; plane- flat,飛機,He flew in an airplane.,A small plane.
airport,n.,air- air; port- port,機場; 航空港,He went to the airport.,The international airport.
all,adj./adv./pron./n.,all- whole,所有的; 全部; 所有; 全部,All the students passed.,He ate all of it.
allow,v.,al- to/toward; -low- praise,允許; 准許,My parents allow me to go out.,Smoking is not allowed.
almost,adv.,all- all; most- most,幾乎; 差不多,He almost fell.,It's almost 10 o'clock.
along,prep./adv.,a- on; long- long,沿著; 一起; 向前,He walked along the river.,Come along with me.
already,adv.,all- all; ready- ready,已經; 早已,He has already left.,I've already eaten.
also,adv.,all- all; so- so,也; 此外,"He is a student, and she is also a student.",I also like pizza.
although,conj.,all- all; though- though,儘管; 雖然,"Although it was raining, we went out.","Although he is rich, he is not happy."
always,adv.,all- all; way- way,總是; 永遠,He always comes on time.,I will always love you.
am/a.m.,adv.,a- on; m- middle,上午,The meeting is at 9 a.m.,He wakes up at 6 a.m.
and,conj.,and- join,和; 與; 而且,He likes apples and bananas.,She is kind and intelligent.
angry,adj.,anger- anger; -y full of,生氣的; 憤怒的,He was angry with her.,She got angry.
animal,n.,anim- life,動物; 獸,The zoo has many animals.,A wild animal.
another,adj./pron.,an- one; other- other,另一個; 又一個; 另外一個,He bought another book.,I need another cup of coffee.
answer,n./v.,an- to/toward; -swer- swear,答案; 回答; 回答,He gave a correct answer.,She answered the question.
ant,n.,ant- insect,螞蟻,An ant crawled on the floor.,A colony of ants.
any,pron./adj./adv.,any- any,任何; 任何的; 任何地,Do you have any questions?,I don't have any money.
anybody/anyone,pron.,any- any; body/one- person,任何人; 隨便哪一個,Is anybody home?,Anyone can do it.
anything,pron.,any- any; thing- thing,任何事物; 任何東西,Do you want anything?,I don't have anything to say.
