單字,詞性,詞根,中文解釋,例句1,例句2
abandon,v.,ab- away/from; -don- give,放棄; 遺棄,He abandoned his family.,They abandoned the sinking ship.
absolute,adj.,ab- away/from; -solut- free/loose,絕對的; 完全的,He has absolute power.,There is no absolute truth.
absorb,v.,ab- away/from; -sorb- suck,吸收; 吸引,The sponge absorbed the water.,He was absorbed in his book.
abstract,adj.,ab- away/from; -tract- draw,抽象的; 理論的,Abstract art is difficult to understand.,The concept is too abstract.
academic,adj.,acad- school; -em- place; -ic pertaining to,學術的; 學院的,He has an academic background.,Academic freedom is important.
accent,n.,ac- to/toward; -cent- sing,口音; 重音,He speaks with a foreign accent.,She has a strong accent.
acceptance,n.,ac- to/toward; -cept- take; -ance state/quality,接受; 承認,Her acceptance of the offer.,The acceptance of new ideas.
access,n./v.,ac- to/toward; -cess- go,進入; 接近; 訪問,He gained access to the building.,You can access the internet here.
accidental,adj.,ac- to/toward; -cid- fall; -ent- being; -al pertaining to,偶然的; 意外的,It was an accidental meeting.,The accidental discovery.
accompany,v.,ac- to/toward; -com- together; -pan- bread,陪伴; 伴隨,He accompanied her to the party.,The storm was accompanied by heavy rain.
accomplish(ment),v./(n.),ac- to/toward; -com- together; -plish- fill; -ment result of,完成; 實現; 成就,He accomplished his goal.,The accomplishment of the task.
accountant,n.,ac- to/toward; -count- count; -ant person,會計師,She works as an accountant.,He hired an accountant.
accuracy,n.,ac- to/toward; -cur- care; -acy state/quality,準確性; 精確度,The accuracy of the report.,He checked the accuracy of the figures.
accuse,v.,ac- to/toward; -cus- cause,指控; 控告,He was accused of theft.,She accused him of lying.
acid,n./adj.,acid- sour,酸; 酸的,Lemon juice is acidic.,The acid burned a hole in the fabric.
acquaintance,n.,ac- to/toward; -quaint- know; -ance state/quality,熟人; 認識,He is an old acquaintance of mine.,She made many new acquaintances.
acquire,v.,ac- to/toward; -quir- seek,獲得; 取得,He acquired a new skill.,The company acquired a smaller firm.
adapt,v.,ad- to/toward; -apt- fit,適應; 改編,He adapted to the new environment.,The book was adapted for television.
addict,n./v.,ad- to/toward; -dict- say,上癮者; 沉迷於,He is a drug addict.,She is addicted to coffee.
adequate,adj.,ad- to/toward; -equ- equal; -ate make/cause to be,足夠的; 適當的,He has an adequate income.,The food supply is adequate.
adjust(ment),v./(n.),ad- to/toward; -just- right; -ment result of,調整; 適應; 調整,He adjusted his glasses.,The adjustment of the settings.
admirable,adj.,ad- to/toward; -mir- wonder; -able capable of,令人欽佩的; 值得讚賞的,He showed admirable courage.,Her dedication is admirable.
admiration,n.,ad- to/toward; -mir- wonder; -ation act/state of,欽佩; 讚賞,He expressed his admiration for her work.,She looked at him with admiration.
admission,n.,ad- to/toward; -miss- send; -ion act/state of,承認; 入場; 准許進入,He gained admission to the university.,The admission fee is $10.
adopt,v.,ad- to/toward; -opt- choose,採納; 收養,They adopted a new strategy.,They adopted a child.
agency,n.,ag- do; -ency state/quality,機構; 代理處,He works for a government agency.,A travel agency.
agent,n.,ag- do; -ent being,代理人; 經紀人,He is a secret agent.,She works as a real estate agent.
aggressive,adj.,ag- to/toward; -gress- step; -ive tending to,好鬥的; 侵略性的,He has an aggressive personality.,The company launched an aggressive marketing campaign.
agreeable,adj.,a- to/toward; -gree- please; -able capable of,愉快的; 宜人的; 易相處的,She is an agreeable person.,The weather was agreeable.
alcohol,n.,al- the; -cohol- spirit,酒精; 酒,He doesn't drink alcohol.,Alcohol consumption is restricted.
alert,adj./v./n.,al- to/toward; -ert- open,警惕的; 警報; 提醒,He is always alert to danger.,The police issued an alert.
allowance,n.,al- to/toward; -low- praise; -ance state/quality,津貼; 允許,He receives a monthly allowance.,The company gives a travel allowance.
alternative,adj./n.,alter- other; -native pertaining to,替代的; 另外的; 替代品,They offered an alternative solution.,There is no alternative.
